CLASSE,SUBCLASSE,τ
TOMBAMENTO,TOMBAMENTO,1.4
TOMBAMENTO,TOMBAMENTO-VEÍCULO PESADO,1.5
TOMBAMENTO,TOMBAMENTO-MOTO,1.3
TOMBAMENTO,TOMBAMENTO-BICICLETA,1.3
CAPOTAMENTO,CAPOTAMENTO,1.5
COLISÃO,COLISÃO-FRONTAL,1.6
COLISÃO,COLISÃO-TRANSVERSAL,1.2
COLISÃO,COLISÃO-LATERAL,1.1
COLISÃO,COLISÃO-TRASEIRA,0.8
ENGAVETAMENTO,ENGAVETAMENTO,0.9
CHOQUE,CHOQUE-DEFENSA/BARREIRA,1.1
CHOQUE,CHOQUE-TALUDE/BARRANCO,1.2
CHOQUE,CHOQUE-ELEMENTO DE DRENAGEM,1.3
CHOQUE,CHOQUE-ÁRVORE,1.5
CHOQUE,CHOQUE-POSTE,1.4
CHOQUE,CHOQUE-OAE (PONTE/VIADUTO),1.5
CHOQUE,CHOQUE-BURACO,1.3
CHOQUE,CHOQUE-MEIO FIO,1.0
CHOQUE,CHOQUE-OBJETO NA PISTA,1.0
CHOQUE,CHOQUE-SINALIZAÇÃO/EQUIPAMENTO,0.9
CHOQUE,CHOQUE-CERCAS/ALAMBRADOS,0.9
CHOQUE,CHOQUE-VEÍCULO PARADO NO ACOSTAMENTO,0.8
CHOQUE,CHOQUE-PRAÇA DE PEDÁGIO,0.7
CHOQUE,CHOQUE-OUTROS,1.0
QUEDA,QUEDA-RIBANCEIRA/OAE,1.6
QUEDA,QUEDA-MOTO,1.2
QUEDA,QUEDA-CARGA,0.9
QUEDA,QUEDA-OUTROS,1.1
ATROPELAMENTO DE PEDESTRE,ATROP. PEDESTRE-OUTROS,1.8
ATROPELAMENTO DE PEDESTRE,ATROP. PEDESTRE-CICLISTA,1.7
ATROPELAMENTO DE PEDESTRE,ATROP. PEDESTRE-SUICÍDIO,1.9
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-SILVESTRE GRANDE,1.4
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-SILVESTRE MÉDIO,1.2
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-SILVESTRE PEQUENO,0.9
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-DOMÉSTICO GRANDE,1.3
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-DOMÉSTICO MÉDIO,1.0
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-DOMÉSTICO PEQUENO,0.8
ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-OUTROS,1.1
OBJETO LANÇADO CONTRA O VEÍCULO,OBJETO LANÇADO CONTRA O VEÍCULO,1.0
—,INCÊNDIO,1.1
—,SAÍDA DE PISTA,1.3
—,OUTROS/NÃO CLASSIFICADO,1.0
