PERIODO,KM,severidade,risco_previsto
2025-11,98,5.0,6.665506219736091
2025-08,92,8.0,6.4853572517555165
2025-07,108,1.0,6.326853715424168
2025-07,92,1.0,6.325700159039844
2025-05,107,0.0,6.233647359914943
2025-10,98,14.0,6.213413779784319
2025-01,98,7.0,6.183562829960868
2025-03,104,0.0,6.12349458134315
2025-03,98,3.0,6.11833688003178
2025-08,61,3.0,6.112340121042939
2025-09,92,8.0,6.077665245683658
2025-08,98,0.0,5.924846011327337
2025-01,20,1.0,5.898022771249688
2025-01,26,2.0,5.896791511260075
2025-08,108,1.0,5.880747048612355
2025-12,107,0.0,5.8773727613127305
2025-11,92,1.0,5.874261572277791
2025-07,107,2.0,5.855579925518787
2025-10,92,2.0,5.853382712794574
2025-06,104,1.0,5.7786738573920085
2025-12,98,1.0,5.754474590760331
2025-02,20,6.0,5.754400667250838
2025-10,61,2.0,5.7492723538758
2025-09,98,19.0,5.736937257433247
2025-03,102,1.0,5.680072643110698
2025-03,20,1.0,5.6775598533401554
2025-01,92,3.0,5.606984835040712
2025-02,107,4.0,5.605044089982457
2025-06,92,8.0,5.590604765401655
2025-08,107,2.0,5.588910628147577
2025-10,106,0.0,5.576105648422063
2025-04,107,22.0,5.572371865413283
2025-12,106,4.0,5.561391643813278
2025-12,103,6.0,5.5344132964685135
2025-06,107,2.0,5.4956375095805035
2025-06,106,2.0,5.488769721584394
2025-12,92,1.0,5.480450065110359
2025-05,92,8.0,5.434954819872454
2025-11,106,5.0,5.422581496914983
2025-02,98,15.0,5.417580051997532
2025-02,92,7.0,5.408198412391947
2025-03,92,3.0,5.394492782562686
2025-08,106,1.0,5.3628961324180615
2025-07,61,4.0,5.352475509794869
2025-05,98,2.0,5.321725705053772
2025-08,104,5.0,5.319459905126313
2025-05,111,2.0,5.307890456949872
2025-07,98,5.0,5.306243680372856
2025-11,109,0.0,5.305229593946794
2025-10,102,0.0,5.297135750931952
2025-09,107,6.0,5.283849981231708
2025-05,104,7.0,5.275510884108007
2025-11,107,11.0,5.26248559255595
2025-08,99,15.0,5.255840892656141
2025-11,96,2.0,5.242933250819509
2025-10,96,2.0,5.242572142307928
2025-04,92,8.0,5.241811408991287
2025-01,107,9.0,5.24123363402711
2025-07,104,3.0,5.219428446402987
2025-04,98,4.0,5.216353889195258
2025-11,102,3.0,5.211719539208359
2025-05,108,2.0,5.208722753547703
2025-09,102,19.0,5.208041210218251
2025-09,106,8.0,5.206699323151545
2025-12,109,2.0,5.205846361837389
2025-06,111,2.0,5.196543827538846
2025-10,109,6.0,5.188585329776014
2025-10,107,6.0,5.1862764873588425
2025-12,61,3.0,5.177176620648155
2025-06,108,9.0,5.16856472097597
2025-05,96,2.0,5.124747854220199
2025-05,103,1.0,5.112678820143651
2025-08,25,0.0,5.080379760961491
2025-12,96,2.0,5.044692298369177
2025-07,25,1.0,5.042982362217527
2025-12,108,19.0,5.038367432752743
2025-09,108,11.0,5.032398852375627
2025-03,107,1.0,5.028708795905641
2025-10,108,3.0,5.025661179362149
2025-06,98,7.0,5.017319313632551
2025-09,96,4.0,5.007728022330677
2025-09,104,0.0,4.995971947024883
2025-12,102,26.0,4.992119036962197
2025-07,102,1.0,4.9861453996374365
2025-06,25,2.0,4.973700698297584
2025-10,103,4.0,4.972204977951531
2025-06,109,0.0,4.956553695625329
2025-01,104,3.0,4.930655590196345
2025-01,106,14.0,4.928998975201278
2025-07,106,2.0,4.88459566335479
