DATA,HORA,CONCESSIONARIA,RODOVIA,KM,SENTIDO,LATITUDE,LONGITUDE,CLASSE,SUBCLASSE,CAUSA_PROVAVEL,VITIMA_ILESA,VITIMA_LEVE,VITIMA_MODERADA,VITIMA_GRAVE,VITIMA_FATAL,VEICULOS_ENVOLVIDOS,MUNICIPIO,REGIAO_ADMINISTRATIVA,REGIONAL_DER,JURISDICAO
2020-01-01,09:14:00,L29-VIAPAULISTA,SP330,300.0,SUL,-21.27370071,-47.75492096,CHOQUE,CHOQUE-OBJETO NA PISTA,OBJETO NA PISTA,0,0,0,0,0,AUTOMÓVEL=1,CRAVINHOS,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-01-01,11:33:00,L01-AUTOBAN,SP330,109.1,NORTE,-22.82690396,-47.18473648,CHOQUE,CHOQUE-DEFENSA METÁLICA,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,SUMARÉ,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-01,14:15:00,L29-VIAPAULISTA,SP330,257.9,SUL,-21.61567307,-47.61617661,TOMBAMENTO,TOMBAMENTO,IMPRUD. CONDUTOR-LEVOU FECHADA,1,1,0,0,0,MOTO=1,SANTA RITA DO PASSA QUATRO,CENTRAL,RIBEIRÃO PRETO,ESTADUAL
2020-01-01,18:22:00,L01-AUTOBAN,SP330,61.7,SUL,-23.17076144,-46.92424089,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,1,AUTOMÓVEL=2|MOTO=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-01,18:59:00,L29-VIAPAULISTA,SP330,281.0,SUL,-21.41457558,-47.66422272,CHOQUE,CHOQUE-OUTROS,FALHA DE EQUIP. PEDÁGIO-PISTA AVI,1,0,0,0,0,CAMINHÃO=1,SÃO SIMÃO,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-01-01,22:27:00,L01-AUTOBAN,SP330,46.5,SUL,-23.285299,-46.86953455,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=1,CAJAMAR,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-02,05:48:00,L06-INTERVIAS,SP330,208.0,NORTE,-22.0177002,-47.43889999,CHOQUE,"CHOQUE - DEFENSA, BARREIRA OU ""SUBMARINO""",IMPRUD. CONDUTOR-PERDA DE CONTROLE,0,2,0,1,0,AUTOMÓVEL=1,PIRASSUNUNGA,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-02,05:59:00,L06-INTERVIAS,SP330,176.75,SUL,-22.29392433,-47.39300156,CHOQUE,"CHOQUE - DEFENSA, BARREIRA OU ""SUBMARINO""",IMPRUD. CONDUTOR-PERDA DE CONTROLE,0,1,0,0,0,CAMINHÃO=1,ARARAS,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-02,12:08:00,L01-AUTOBAN,SP330,153.26,NORTE,-22.50324541,-47.39901945,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,0,0,0,0,CAMINHÃO=1,CORDEIRÓPOLIS,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-02,14:06:00,L28-ENTREVIAS,SP330,350.0,SUL,-20.8508397261,-47.8957550462,COLISÃO,COLISÃO-TRASEIRA,IMPRUD. CONDUTOR-EXCESSO DE VELOCIDADE,2,0,0,0,0,AUTOMÓVEL=2,SALES OLIVEIRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
