Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SP 095;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;39,680;42,750;3,070;Amparo Perímetro Urbano (A) / Entroncamento SP 360 (km 128) (B) / Inicio do trecho conservado pela prefeitura;Final do trecho conservado pela prefeitura;Estadual;Prefeitura;Prefeitura;PAV; ; ;Sim; ; ;Nã;João Beira;Lei 6.842 de 26/04/90; ; ;095SPE3394
SP 095;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;42,750;43,800;1,050;Final do trecho conservado pela prefeitura;Amparo Perímetro Urbano (B);Estadual;DER;01.04;PAV; ; ;Sim; ; ;Nã;João Beira;Lei 6.842 de 26/04/90; ; ;095SPE4618
SP 095;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;43,800;52,130;8,330;Amparo Perímetro Urbano (B);Entroncamento SP 107 (km Zero);Estadual;DER;01.04;DUP; ; ;Não; ; ;Nã;João Beira;Lei 6.842 de 26/04/90; ; ;095SPE6484
SP 105;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;9,600;12,400;2,800;Divisa Municipal Serra Negra / Amparo;Entroncamento SP 352 (km 149) (Distrito de Brumado);Estadual;DER;01.04;PAV; ; ;Não; ; ;Nã;Doutor Rubens Pupo Pimentel;Lei 8.541 de 29/12/93; ; ;105SPE2859
SP 107;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;0,000;10,000;10,000;Entroncamento SP 095 (km 52);Divisa Municipal Amparo / Santo Antônio de Posse;Estadual;DER;01.04;PAV; ; ;Não; ; ;Nã;Prefeito Aziz Lian;Dec. 19.575 de 24/09/82; ; ;107SPE7475
SPA 137/360;Acesso;Sem Informação;Estadual;Monte Alegre do Sul;CGR01;Campinas;3,450;6,400;2,950;Divisa Municipal Amparo / Monte Alegre do Sul;Monte Alegre do Sul Perímetro Urbano (A);Estadual;DER;01.04;PAV; ; ;Não; ; ;Nã;Professora Pedrina Maria da Silva Valente;Lei 6.218 de 11/11/88; ; ;360SPA6568
SPA 137/360;Acesso;Sem Informação;Estadual;Monte Alegre do Sul;CGR01;Campinas;6,400;8,500;2,100;Monte Alegre do Sul Perímetro Urbano (A);Monte Alegre do Sul Perímetro Urbano (B);Estadual;DER;01.04;PAV; ; ;Sim; ; ;Nã;Professora Pedrina Maria da Silva Valente;Lei 6.218 de 11/11/88; ; ;360SPA4970
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;99,900;104,900;5,000;Divisa municipal General Sangado / Auriflama;Entroncamento SP 310 (km 558);Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE9433
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;104,900;105,773;0,873;Entroncamento SP 310 (km 558);Divisa municipal Auriflama / General Salgado;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE5322
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;109,336;118,692;9,356;Divisa municipal General Salgado / Auriflama;Divisa municipal Auriflama / General Salgado;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE7724
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;118,692;121,900;3,208;Divisa municipal Auriflama / General Salgado;Divisa municipal General Salgado / Populína;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE9870
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;557,500;558,210;0,710;Divisa municipal General Salgado / Auriflama / Inicio da pista dupla;Inicio da Pista Dupla;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE5865
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;558,210;558,950;0,740;Inicio da Pista Dupla;Entroncamento da SP 463 (km 104);Estadual;DER;11.01;DUP; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE0080
