_id,DATA,CONCESSIONARIA,RODOVIA,KM,SENTIDO,REG ADM,MUNICIPIO,PRACA,CLASSE,SUBCLASSE,OBITOS,FERIDOS
1,2026-06-30 00:00:00,L01-AUTOBAN,SP330,"26,500",NORTE,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,PERUS,COLISÃO,COLISÃO - TRASEIRA,0,0
2,2026-06-30 00:00:00,L22-ECOVIAS IMIGRANTES,SP055,"280,000",LESTE,SANTOS,SÃO VICENTE,SÃO VICENTE,COLISÃO,COLISÃO - TRASEIRA,0,0
3,2026-06-30 00:00:00,L23-LESTE PAULISTA,SP070,"32,000",OESTE,REG. METROPOLITANA SÃO PAULO,ITAQUAQUECETUBA,ITAQUAQUECETUBA,ENGAVETAMENTO,ENGAVETAMENTO,0,0
4,2026-06-28 00:00:00,L11-RENOVIAS,SP342,"191,800",OESTE,CAMPINAS,ESPÍRITO SANTO DO PINHAL,ESPÍRITO SANTO DO PINHAL,CHOQUE,CHOQUE - CANCELA DE PEDÁGIO - SEM PARAR,0,0
5,2026-06-28 00:00:00,L23-LESTE PAULISTA,SP070,"32,800",OESTE,REG. METROPOLITANA SÃO PAULO,ITAQUAQUECETUBA,ITAQUAQUECETUBA,TOMBAMENTO,TOMBAMENTO,0,0
6,2026-06-27 00:00:00,L07-ROTA,SP332,"135,500",SUL,CAMPINAS,COSMÓPOLIS,PAULINIA A,CHOQUE,"CHOQUE - DEFENSA, BARREIRA OU ""SUBMARINO""",0,0
7,2026-06-27 00:00:00,L19-VIARONDON,SP300,"562,800",LESTE,ARAÇATUBA,RUBIÁCEA,RUBIACEA,CHOQUE,CHOQUE - VEÍCULO PARADO NA PISTA,0,0
8,2026-06-27 00:00:00,L25-SPMAR,SP021,"0,300",NORTE,REG. METROPOLITANA SÃO PAULO,RIBEIRÃO PIRES,P7-BLOQUEIO LESTE,COLISÃO,COLISÃO - TRASEIRA,0,0
9,2026-06-26 00:00:00,L23-LESTE PAULISTA,SP070,"92,000",OESTE,SÃO JOSÉ DOS CAMPOS,SÃO JOSÉ DOS CAMPOS,SÃO JOSÉ DOS CAMPOS,CHOQUE,CHOQUE - PRAÇA CABINE,0,0
10,2026-06-25 00:00:00,L23-LESTE PAULISTA,SP070,"32,800",OESTE,REG. METROPOLITANA SÃO PAULO,ITAQUAQUECETUBA,ITAQUAQUECETUBA,CHOQUE,"CHOQUE - DEFENSA, BARREIRA OU MEIO FIO",0,0
11,2026-06-24 00:00:00,L07-ROTA,SP065,"79,901",NORTE,CAMPINAS,ATIBAIA,ATIBAIA,COLISÃO,COLISÃO - TRASEIRA,0,1
12,2026-06-24 00:00:00,L25-SPMAR,SP021,"50,000",INTERNO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,P1-PARELHEIROS,COLISÃO,COLISÃO - TRASEIRA,0,0
13,2026-06-24 00:00:00,L31-NOROESTE PAULISTA,SP310,"282,000",SUL,CENTRAL,ARARAQUARA,ARARAQUARA,CHOQUE,CHOQUE - PRAÇA CABINE,0,0
14,2026-06-24 00:00:00,L34-RAPOSO CASTELLO,SP280,"18,600",OESTE,REG. METROPOLITANA SÃO PAULO,OSASCO,OSASCO,COLISÃO,COLISÃO - LATERAL,0,0
15,2026-06-23 00:00:00,L06-INTERVIAS,SP215,"104,400",LESTE,CENTRAL,DESCALVADO,DESCALVADO,CHOQUE,"CHOQUE - PRAÇA AVI - (DEFENSA,ILHA,BARREIRA)",0,4
16,2026-06-23 00:00:00,L23-LESTE PAULISTA,SP070,"32,800",LESTE,REG. METROPOLITANA SÃO PAULO,ITAQUAQUECETUBA,ITAQUAQUECETUBA,COLISÃO,COLISÃO - TRASEIRA,0,0
17,2026-06-23 00:00:00,L24-RODOANEL,SP021,"25,360",EXTERNO,REG. METROPOLITANA SÃO PAULO,OSASCO,13-REGIS BITTENCOURT,ENGAVETAMENTO,ENGAVETAMENTO,0,0
18,2026-06-23 00:00:00,L25-SPMAR,SP021,"70,200",EXTERNO,REG. METROPOLITANA SÃO PAULO,SÃO BERNARDO DO CAMPO,P2-IMIGRANTES LITORAL,QUEDA,QUEDA - MOTO,0,1
19,2026-06-23 00:00:00,L25-SPMAR,SP021,"86,950",INTERNO,REG. METROPOLITANA SÃO PAULO,RIBEIRÃO PIRES,P6-INTERNA,COLISÃO,COLISÃO - LATERAL,0,0
20,2026-06-23 00:00:00,L31-NOROESTE PAULISTA,SP310,"399,000",SUL,SÃO JOSÉ DO RIO PRETO,CATIGUÁ,CATIGUÁ,ATROP DE ANIMAL,ATROP ANIMAL - SILVESTRE DE GRANDE PORTE,0,0
21,2026-06-22 00:00:00,L13-COLINAS,SP127,"58,600",SUL,CAMPINAS,RIO DAS PEDRAS,RIO DAS PEDRAS (SP127),ENGAVETAMENTO,ENGAVETAMENTO,0,0
22,2026-06-22 00:00:00,L21-ROD. DO TIETÊ,SP300,"314,000",OESTE,BAURU,LENÇÓIS PAULISTA,AGUDOS-(LENÇÓIS PAULISTAS),COLISÃO,COLISÃO - TRANSVERSAL,0,0
23,2026-06-22 00:00:00,L22-ECOVIAS IMIGRANTES,SP160,"32,000",SUL,REG. METROPOLITANA SÃO PAULO,SÃO BERNARDO DO CAMPO,PIRATININGA,ENGAVETAMENTO,ENGAVETAMENTO,0,0
24,2026-06-22 00:00:00,L24-RODOANEL,SP021,"25,360",EXTERNO,REG. METROPOLITANA SÃO PAULO,OSASCO,13-REGIS BITTENCOURT,COLISÃO,COLISÃO - TRASEIRA,0,0
25,2026-06-22 00:00:00,L29-VIAPAULISTA,SP255,"45,463",NORTE,RIBEIRÃO PRETO,GUATAPARÁ,GUATAPARÁ,CHOQUE,CHOQUE - OUTROS,0,0
26,2026-06-21 00:00:00,L11-RENOVIAS,SP340,"123,500",SUL,CAMPINAS,CAMPINAS,JAGUARIÚNA,CHOQUE,CHOQUE - VEÍCULO PARADO NA PISTA,0,0
27,2026-06-20 00:00:00,L01-AUTOBAN,SP348,"77,000",SUL,CAMPINAS,ITUPEVA,ITUPEVA (SP348),COLISÃO,COLISÃO - TRASEIRA,0,0
28,2026-06-20 00:00:00,L21-ROD. DO TIETÊ,SP300,"259,300",LESTE,SOROCABA,BOTUCATU,BOTUCATU,COLISÃO,COLISÃO TRASEIRA,0,0
29,2026-06-20 00:00:00,L23-LESTE PAULISTA,SP070,"114,500",LESTE,SÃO JOSÉ DOS CAMPOS,CAÇAPAVA,CAÇAPAVA,CHOQUE,CHOQUE - OBJETO NA PISTA,0,0
30,2026-06-19 00:00:00,L11-RENOVIAS,SP342,"191,800",LESTE,CAMPINAS,ESPÍRITO SANTO DO PINHAL,ESPÍRITO SANTO DO PINHAL,CHOQUE,CHOQUE - CANCELA DE PEDÁGIO - SEM PARAR,0,0
31,2026-06-19 00:00:00,L34-RAPOSO CASTELLO,SP280,"20,100",LESTE,REG. METROPOLITANA SÃO PAULO,BARUERI,BARUERI,TOMBAMENTO,TOMBAMENTO,0,0
32,2026-06-18 00:00:00,L11-RENOVIAS,SP340,"221,300",SUL,CAMPINAS,CASA BRANCA,CASA BRANCA,CHOQUE,CHOQUE - CANCELA DE PEDÁGIO - SEM PARAR,0,0
33,2026-06-18 00:00:00,L23-LESTE PAULISTA,SP070,"57,800",LESTE,REG. METROPOLITANA SÃO PAULO,GUARAREMA,GUARAREMA,COLISÃO,COLISÃO - TRASEIRA,0,0
34,2026-06-18 00:00:00,L25-SPMAR,SP021,"86,900",INTERNO,REG. METROPOLITANA SÃO PAULO,RIBEIRÃO PIRES,P6-INTERNA,CHOQUE,CHOQUE - VEÍCULO PARADO NA PISTA,0,0
35,2026-06-18 00:00:00,L34-RAPOSO CASTELLO,SP280,"33,000",OESTE,REG. METROPOLITANA SÃO PAULO,ITAPEVI,ITAPEVI,COLISÃO,COLISÃO - TRASEIRA,0,0
36,2026-06-17 00:00:00,L20-SPVIAS,SP270,"135,150",OESTE,SOROCABA,SARAPUÍ,ALAMBARI,COLISÃO,COLISÃO - LATERAL,0,0
37,2026-06-17 00:00:00,L24-RODOANEL,SP021,"15,610",INTERNO,REG. METROPOLITANA SÃO PAULO,OSASCO,12-RAPOSO TAVARES EXTERNA,COLISÃO,COLISÃO - TRASEIRA,0,0
38,2026-06-16 00:00:00,L21-ROD. DO TIETÊ,SP300,"259,300",LESTE,SOROCABA,BOTUCATU,BOTUCATU,COLISÃO,COLISÃO LATERAL,0,0
39,2026-06-16 00:00:00,L23-LESTE PAULISTA,SP070,"57,800",OESTE,REG. METROPOLITANA SÃO PAULO,GUARAREMA,GUARAREMA,CHOQUE,"CHOQUE - DEFENSA, BARREIRA OU MEIO FIO",0,0
40,2026-06-16 00:00:00,L24-RODOANEL,SP021,"24,700",INTERNO,REG. METROPOLITANA SÃO PAULO,OSASCO,12-RAPOSO TAVARES EXTERNA,COLISÃO,COLISÃO - TRASEIRA,0,1
