CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L01-AUTOBAN,SP330,"13,950",NORTE,199,REG. METROPOLITANA SÃO PAULO,SAO PAULO,ALAGAMENTO,2026-04-30 00:00:00,2026-04-30 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"122,000",NORTE,417,CAMPINAS,AMERICANA,ALAGAMENTO,2026-04-29 00:00:00,2026-04-29 00:00:00,COM INTERDIÇÃO,"FAIXA 1, ACOSTAMENTO"
L16-CART,SPA553/270,"3,320",SUL,133,PRESIDENTE PRUDENTE,REGENTE FEIJO,ALAGAMENTO,2026-04-29 00:00:00,2026-04-29 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"68,000",INTERNO,105,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,EROSÃO,2026-04-29 00:00:00,2026-04-29 00:00:00,COM INTERDIÇÃO,"FAIXA 1, FAIXA 3, ACOSTAMENTO"
L01-AUTOBAN,SP348,"98,000",SUL,518,CAMPINAS,CAMPINAS,ALAGAMENTO,2026-04-28 00:00:00,2026-04-29 00:00:00,COM INTERDIÇÃO,ALÇA/RETORNO
L07-ROTA,SP065,"47,000",SUL,91,CAMPINAS,NAZARE PAULISTA,DESLIZAMENTO DE TALUDE,2026-04-28 00:00:00,2026-04-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"216,900",LESTE,26,ITAPEVA,ANGATUBA,ALAGAMENTO,2026-04-27 00:00:00,2026-04-27 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"295,700",LESTE,38,ITAPEVA,PIRAJU,DESLIZAMENTO DE TALUDE,2026-04-27 00:00:00,2026-04-27 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L35-VIARAPOSO,SP270,"199,600",OESTE,65,ITAPEVA,ANGATUBA,DESLIZAMENTO DE TALUDE,2026-04-27 00:00:00,2026-04-27 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SPA241/300,"9,000",NORTE,27,SOROCABA,BOTUCATU,EROSÃO,2026-04-26 00:00:00,2026-04-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"58,800",NORTE,130,CAMPINAS,JUNDIAI,EROSÃO,2026-04-25 00:00:00,2026-04-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP332,"186,000",NORTE,2,CAMPINAS,CONCHAL,EROSÃO,2026-04-25 00:00:00,2026-04-25 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L32-NOVO LITORAL,SP055,"330,800",LESTE,5,BAIXADA SANTISTA,ITANHAEM,EROSÃO,2026-04-25 00:00:00,2026-04-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP113,"1,000",SUL,55,SOROCABA,TIETE,EROSÃO,2026-04-24 00:00:00,2026-04-24 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L21-TIETÊ,SP113,"1,000",SUL,26,SOROCABA,TIETE,EROSÃO,2026-04-23 00:00:00,2026-04-23 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP225,"308,507",OESTE,86,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2026-04-20 00:00:00,2026-04-20 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L30-EIXOSP,SPA195/304,"1,100",SUL,4862,CAMPINAS,SAO PEDRO,EROSÃO,2026-04-20 00:00:00,2026-04-20 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L30-EIXOSP,SP304,"210,200",LESTE,4940,CAMPINAS,SAO PEDRO,EROSÃO,2026-04-20 00:00:00,2026-04-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP300,"83,000",LESTE,133,CAMPINAS,CABREUVA,ALAGAMENTO,2026-04-18 00:00:00,2026-04-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"320,900",LESTE,7,BAURU,AGUDOS,EROSÃO,2026-04-18 00:00:00,2026-04-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP075,"74,400",SUL,39,CAMPINAS,CAMPINAS,EROSÃO,2026-04-17 00:00:00,2026-04-17 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L06-INTERVIAS,SP330,"186,600",SUL,2309,CAMPINAS,LEME,DESLIZAMENTO DE TALUDE,2026-04-14 00:00:00,2026-04-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"493,800",LESTE,16,ARAÇATUBA,PENAPOLIS,EROSÃO,2026-04-13 00:00:00,2026-04-13 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L06-INTERVIAS,SP215,"117,700",LESTE,1729,CENTRAL,DESCALVADO,EROSÃO,2026-04-11 00:00:00,2026-04-11 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"71,000",INTERNO,19,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,EROSÃO,2026-04-11 00:00:00,2026-04-11 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"64,860",SUL,184,CAMPINAS,JUNDIAI,EROSÃO,2026-04-10 00:00:00,2026-04-10 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP348,"49,080",NORTE,354,CAMPINAS,JUNDIAI,EROSÃO,2026-04-10 00:00:00,2026-04-10 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP225,"312,133",OESTE,101,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2026-04-10 00:00:00,2026-04-10 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"21,800",NORTE,133,REG. METROPOLITANA SÃO PAULO,SAO PAULO,EROSÃO,2026-04-09 00:00:00,2026-04-12 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"46,100",SUL,93,CAMPINAS,NAZARE PAULISTA,DESLIZAMENTO DE TALUDE,2026-04-09 00:00:00,2026-04-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"532,500",LESTE,38,ARAÇATUBA,ARACATUBA,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L19-VIARONDON,SP300,"555,000",OESTE,149,ARAÇATUBA,GUARARAPES,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L25-SPMAR,SP021,"121,000",INTERNO,219,REG. METROPOLITANA SÃO PAULO,ITAQUAQUECETUBA,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP334,"354,388",SUL,2043,FRANCA,BATATAIS,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP345,"29,371",OESTE,2149,FRANCA,FRANCA,ALAGAMENTO,2026-04-09 00:00:00,2026-04-09 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"49,000",NORTE,179,CAMPINAS,JUNDIAI,EROSÃO,2026-04-08 00:00:00,2026-04-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"139,100",NORTE,183,CAMPINAS,LIMEIRA,EROSÃO,2026-04-08 00:00:00,2026-04-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP332,"150,700",NORTE,118,CAMPINAS,ARTUR NOGUEIRA,ALAGAMENTO,2026-04-08 00:00:00,2026-04-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"397,750",LESTE,42,BAURU,PIRAJUI,EROSÃO,2026-04-08 00:00:00,2026-04-08 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L21-TIETÊ,SP308,"154,500",NORTE,8,CAMPINAS,RIO DAS PEDRAS,DESLIZAMENTO DE TALUDE,2026-04-08 00:00:00,2026-04-12 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"12,850",NORTE,253,REG. METROPOLITANA SÃO PAULO,SAO PAULO,ALAGAMENTO,2026-04-07 00:00:00,2026-04-07 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L11-RENOVIAS,SP342,"221,500",LESTE,110,CAMPINAS,SAO JOAO DA BOA VISTA,ALAGAMENTO,2026-04-07 00:00:00,2026-04-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L11-RENOVIAS,SP342,"223,000",OESTE,113,CAMPINAS,SAO JOAO DA BOA VISTA,ALAGAMENTO,2026-04-07 00:00:00,2026-04-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"289,100",OESTE,31,BAURU,LENCOIS PAULISTA,DESLIZAMENTO DE TALUDE,2026-04-07 00:00:00,2026-04-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"230,500",LESTE,96,SOROCABA,BOTUCATU,EROSÃO,2026-04-07 00:00:00,2026-04-07 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L11-RENOVIAS,SP340,"159,000",SUL,145,CAMPINAS,MOGI MIRIM,ALAGAMENTO,2026-04-06 00:00:00,2026-04-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP300,"156,700",OESTE,76,SOROCABA,TIETE,EROSÃO,2026-04-06 00:00:00,2026-04-06 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"580,000",OESTE,198,PRESIDENTE PRUDENTE,ALVARES MACHADO,DESLIZAMENTO DE TALUDE,2026-04-06 00:00:00,2026-04-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"506,100",OESTE,29,ARAÇATUBA,COROADOS,EROSÃO,2026-04-05 00:00:00,2026-04-05 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L21-TIETÊ,SP300,"287,000",LESTE,60,BAURU,LENCOIS PAULISTA,ALAGAMENTO,2026-04-04 00:00:00,2026-04-04 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"66,700",SUL,65,BAIXADA SANTISTA,SAO VICENTE,ALAGAMENTO,2026-04-04 00:00:00,2026-04-04 00:00:00,COM INTERDIÇÃO,ALÇA/RETORNO
L19-VIARONDON,SP300,"449,000",OESTE,26,BAURU,GUAICARA,EROSÃO,2026-04-03 00:00:00,2026-04-03 00:00:00,COM INTERDIÇÃO,ALÇA/RETORNO
L19-VIARONDON,SPA460/300,"4,000",NORTE,106,BAURU,PROMISSAO,EROSÃO,2026-04-03 00:00:00,2026-04-03 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"553,600",LESTE,135,ARAÇATUBA,GUARARAPES,EROSÃO,2026-04-03 00:00:00,2026-04-03 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
