Tipo;Código;Rodovia;Tipo da Rodovia;Km;Faixas;Município;Marca/Modelo;Operadora;Início Operação;Cancelamento;Coordenadas
CEV;CEV250003;SP 008;Eixo;96,86;N-1, S-1;BRAGANCA PAULISTA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);16/07/2025;;-22.910293, -46.546438
CEC;CEC250026;SPA 009/010;Acesso;8,41;L-1, O-1;BRAGANCA PAULISTA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);08/08/2025;;-22.934000, -46.511099
CEC;CEC250001;SP 008;Eixo;114,55;N-1, S-1;PINHALZINHO;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);15/08/2025;;-22.772223, -46.560607
CEC;CEC250004;SP 063;Eixo;29,08;L-1, O-1;ITATIBA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);15/08/2025;;-22.978769, -46.763031
CEC;CEC250048;SP 324;Eixo;84,48;N-1, S-1;CAMPINAS;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);15/08/2025;;-23.050620, -47.077320
CEV;CEV250005;SP 008;Eixo;135,3;N-1, S-1;SOCORRO;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);15/08/2025;;-22.607523, -46.526267
CEV;CEV250085;SP 354;Eixo;67,3;N-1, S-1;JARINU;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);15/08/2025;;-23.138190, -46.741095
REV;REV250007;SP 036;Eixo;84,857;N-1, N-2;PIRACAIA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);15/08/2025;;-23.088437, -46.414109
CEC;CEC250002;SP 036;Eixo;55;N-1, S-1;NAZARE PAULISTA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-23.227856, -46.407335
CEV;CEV250006;SP 036;Eixo;78,599;N-1, S-1;PIRACAIA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-23.109237, -46.469149
CEV;CEV250091;SP 091;Eixo;92,189;O-1, O-2;CAMPINAS;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-22.947171, -47.028199
CEV;CEV250094;SP 095;Eixo;64,008;O-1, O-2;PEDREIRA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-22.720215, -46.933057
CEV;CEV250095;SP 107;Eixo;44;L-1, O-1;ARTUR NOGUEIRA;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-22.586761, -47.148472
CEV;CEV250099;SP 332;Eixo;81;N-1, S-1;VALINHOS;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-23.059753, -46.950477
CEV;CEV250117;SP 332;Eixo;71,1;N-1, N-2;JUNDIAI;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);17/08/2025;;-23.133893, -46.922269
CEC;CEC250049;SP 332;Eixo;91,8;N-1, S-1;VALINHOS;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);19/08/2025;;-23.006965, -47.001888
CEC;CEC250058;SP 332;Eixo;50,8;N-1, S-1;JUNDIAI;Splice/SPL-MFS1;145/2023 - Lote 01 (Splice);19/08/2025;;-23.266741, -46.815521
