DATA,HORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2020-01-01,2020-01-01T09:00,0.0,9.4,22.0,3
2020-01-01,2020-01-01T11:00,0.2,13.2,32.4,51
2020-01-01,2020-01-01T14:00,0.0,8.0,27.4,2
2020-01-01,2020-01-01T18:00,3.9,7.6,39.2,63
2020-01-01,2020-01-01T18:00,0.0,2.6,14.8,3
2020-01-01,2020-01-01T22:00,3.3,7.7,16.2,63
2020-01-02,2020-01-02T05:00,0.0,4.0,5.8,3
2020-01-02,2020-01-02T05:00,0.0,4.5,7.9,3
2020-01-02,2020-01-02T12:00,0.5,14.2,30.2,53
2020-01-02,2020-01-02T14:00,0.4,12.7,29.9,51
2020-01-02,2020-01-02T14:00,5.8,9.8,28.8,63
2020-01-02,2020-01-02T17:00,1.8,5.6,27.0,61
2020-01-02,2020-01-02T17:00,1.0,3.2,22.3,55
2020-01-02,2020-01-02T18:00,0.2,4.3,11.2,51
2020-01-02,2020-01-02T21:00,0.4,4.9,13.3,51
2020-01-02,2020-01-02T22:00,0.8,4.8,9.7,53
2020-01-02,2020-01-02T22:00,2.7,3.8,6.8,63
2020-01-02,2020-01-02T23:00,3.0,5.9,11.9,63
2020-01-03,2020-01-03T00:00,2.7,3.3,9.0,63
2020-01-03,2020-01-03T00:00,2.7,6.0,13.0,63
2020-01-03,2020-01-03T02:00,1.0,2.6,9.0,55
2020-01-03,2020-01-03T06:00,0.0,12.6,27.4,3
2020-01-03,2020-01-03T11:00,0.2,6.3,16.6,51
2020-01-03,2020-01-03T14:00,0.1,15.0,32.8,51
2020-01-03,2020-01-03T17:00,0.4,21.0,38.5,51
2020-01-03,2020-01-03T21:00,0.0,10.0,13.7,3
2020-01-03,2020-01-03T21:00,0.0,10.0,13.7,3
2020-01-03,2020-01-03T21:00,0.3,4.3,17.6,51
2020-01-04,2020-01-04T00:00,0.0,6.6,18.4,2
2020-01-04,2020-01-04T08:00,0.0,8.7,20.9,2
2020-01-04,2020-01-04T10:00,0.1,10.8,25.9,51
